address,degree,in_degree,out_degree,pagerank,core,hub,authority,betweenness,value_in,value_out,value_net
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1127,1127,0,2.4458878797880242e-05,5,0.0,0.0,,0.0,0.0,0.0
0x8e870d67f660d95d5be530380d0ec0bd388289e1,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,1,1,0,2.4458878797880242e-05,1,0.0,0.0,,0.0,0.0,0.0
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,417,126,291,0.016345058406428865,5,5.1247736131962384e-20,-2.05519728580934e-19,,698523.4481020888,836334.0374109643,-137810.5893088755
0xd8da6bf26964af9d7eed9e03e53415d37aa96045,1623,1431,192,0.026691517995227468,5,1.2942792478535416e-21,-1.6756285320095274e-20,,14314.310353197994,79076.96045417659,-64762.65010097859
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2,2,0,2.4459240082244538e-05,2,0.0,1.6626182210250522e-27,,0.00182,0.0,0.00182
0x82afa2c4a686af9344e929f9821f3e8c6e9293ab,1,1,0,2.4459454633573827e-05,1,0.0,-2.9320873183127217e-28,,0.002,0.0,0.002
,11,11,0,2.509076294308226e-05,3,0.0,2.6697054635195416e-24,,1.83,0.0,1.83
0x6acc9a6876739e9190d06463196e27b6d37405c6,2,2,0,2.4469079077048887e-05,2,0.0,4.417205805411995e-25,,0.15600000000000006,0.0,0.15600000000000006
0xce7fb4c38949d7c09bd95197c3981ec8bb0638e5,2,2,0,2.461954537329606e-05,2,0.0,1.6767998326813532e-25,,1.5,0.0,1.5
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2,2,0,2.44636764740509e-05,2,0.0,4.384610095396138e-26,,0.03570999999999998,0.0,0.03570999999999998
0xb1247665ae0cbba65343cb7382d29b077ec47927,2,2,0,2.4462466191268962e-05,2,0.0,-1.1347802031932809e-27,,0.0183,0.0,0.0183
0x90786bf95df3f62c774695b166e6adfc8a0d18a5,2,2,0,2.445958367127062e-05,2,0.0,2.1332461536934694e-26,,0.0081,0.0,0.0081
0x3d9e942f183a7e564dd27479081f745a4f081f28,2,2,0,2.4459088694199006e-05,2,0.0,6.2197016130441635e-28,,0.0012000000000000001,0.0,0.0012000000000000001
0x848c87d50533d4b9e5169519335e862a1c917d57,2,2,0,2.4459166715727033e-05,2,0.0,-1.0579210968229918e-28,,0.0010000000000000041,0.0,0.0010000000000000041
0x8e96a2c65e9fa8ef3a620afb6737bc870adefeec,2,2,0,2.4458878797880242e-05,2,0.0,0.0,,0.0,0.0,0.0
0x73629aaa79aa9d44596ced948871b379f3cda2e2,1,1,0,2.4470395511752e-05,1,0.0,7.023200661982793e-27,,0.04,0.0,0.04
0x2a0d4e479976267408a3a97c620d4efa53ed6321,1,1,0,2.4462909647735355e-05,1,0.0,4.381898010774735e-27,,0.014,0.0,0.014
0xbef6d2b0aa3f978858664444623cf98a1099a1e6,1,1,0,2.4462909647735355e-05,1,0.0,4.381898010774735e-27,,0.014,0.0,0.014
0x8e614a106bbab1288f7dac28f56e4f28882c7535,1,1,0,2.4462909647735355e-05,1,0.0,4.381898010774735e-27,,0.014,0.0,0.014
0xf38cd38d748d383d14565a8a58297b4340085aa2,1,1,0,2.4462909647735355e-05,1,0.0,4.381898010774735e-27,,0.014,0.0,0.014
0x89a538387b805a2921e86882d890364df6c3fc23,1,1,0,2.4462909647735355e-05,1,0.0,4.381898010774735e-27,,0.014,0.0,0.014
0xce54c6f657b149ad69d30df25e4343d15a8a8bab,1,1,0,2.4462909647735355e-05,1,0.0,4.381898010774735e-27,,0.014,0.0,0.014
0x5032122808822970bfa4be80bfc854ceeac6bab1,1,1,0,2.4462909647735355e-05,1,0.0,4.381898010774735e-27,,0.014,0.0,0.014
0x4e32d23b542af172689535950bb8ec0f423f5492,1,1,0,2.4462909647735355e-05,1,0.0,4.381898010774735e-27,,0.014,0.0,0.014
