source,target,weight,count
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x8e870d67f660d95d5be530380d0ec0bd388289e1,0.0,3
0x742d35cc6634c0532925a3b844bc454e4438f44e,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,0.0,2
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x742d35cc6634c0532925a3b844bc454e4438f44e,5004136.703578061,2743
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0xe95d337dc4ee9a88dd11f6873d6d63e7b151e9a5,0.006075,1
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0xa6ab8a62bfd11a075756278c8045fbfefb81a5c3,0.006075,1
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x0140fb889921aea4f637c6f1bdc8fcfc1031acc1,0.006075,1
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0xf4a8c0d3a6df0d2635219b1066c9fc273f289985,0.006075,1
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x27795d11edc14c47616cb0abd8f7a59d2357fd01,0.006075,1
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0xa8a6fef2c9e3fa7f75699c51e6dd5e8e3c2b8541,0.006075,1
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x3ecb043987773bf58eab63204269bae43420c3e5,0.0081,1
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0xf187add7fe2ffb289dde7f1c8242d30dd012ae9b,0.006075,1
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x9499a53aa6f36568b5d476810d73030f7d06d170,0.006075,1
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x1626cc5bf96c8db67e1213a9adf4ffaae3c94600,0.0081,1
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0xd451339819ccc211cbec1f3d1dfdf589bd84d818,0.006075,1
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x2f3178917e9f26b07739084c8d82088d72ff5d04,0.0081,1
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x654dc3035d8f2d623eab241e41655dcc476b0224,0.006075,1
